config_id,ga_orbit,n_tilings,ga_faces,h_faces
900000,1,0,0;4;8,15;17;21;23;25;29;31;35;37;39;43;45;51;53;57;59;67;71
900001,1,0,0;4;8,13;17;19;23;25;27;31;33;39;41;45;47;49;53;55;59;63;67
900002,1,0,0;4;8,13;15;19;21;27;29;33;35;37;41;43;47;49;51;55;57;63;71
900003,2,0,0;4;24,9;17;19;23;27;31;33;39;41;45;47;49;53;55;59;63;67;69
900004,2,0,0;4;24,7;15;19;21;27;29;33;37;41;43;47;49;51;55;57;63;69;71
900005,2,0,0;4;24,7;9;15;17;21;23;29;31;37;39;43;45;51;53;57;59;67;71
900006,3,0,0;4;52,9;13;17;19;23;25;27;31;33;39;45;47;49;55;59;63;67;69
900007,3,0,0;4;52,7;13;15;19;21;27;29;33;35;37;43;47;49;55;57;63;69;71
900008,3,0,0;4;52,7;9;15;17;21;23;25;29;31;35;37;39;43;45;57;59;67;71
900009,4,0,0;4;30,9;15;17;23;25;33;35;37;39;43;45;51;53;57;59;67;69;71
900010,4,0,0;4;30,9;15;17;21;23;25;35;37;39;43;45;51;53;57;59;67;69;71
900011,4,0,0;4;30,9;15;17;21;23;25;35;37;39;43;45;49;51;53;57;59;67;69
900012,4,0,0;4;30,9;13;17;23;25;27;33;39;41;45;47;49;53;55;59;63;67;69
900013,4,0,0;4;30,7;15;21;23;25;27;35;37;39;43;45;51;53;57;59;67;69;71
900014,4,0,0;4;30,7;15;17;21;23;25;35;37;39;43;45;51;53;57;59;67;69;71
900015,4,0,0;4;30,7;15;17;21;23;25;35;37;39;43;45;51;53;55;57;59;69;71
900016,4,0,0;4;30,7;13;15;21;27;33;35;37;41;43;47;49;51;55;57;63;69;71
900017,4,0,0;4;30,7;9;15;23;25;27;33;35;37;39;43;45;51;53;57;59;67;71
900018,4,0,0;4;30,7;9;15;21;23;25;27;35;37;39;43;45;51;53;57;59;67;71
900019,4,0,0;4;30,7;9;15;17;23;25;33;35;37;39;43;45;51;53;57;59;67;71
900020,4,0,0;4;30,7;9;15;17;21;23;25;35;37;39;43;45;51;53;57;59;67;71
900021,5,0,0;4;58,9;13;17;19;23;25;27;31;33;39;41;45;49;53;55;63;67;69
900022,5,0,0;4;58,9;13;17;19;23;25;27;31;33;39;41;45;49;51;53;55;67;69
900023,5,0,0;4;58,9;13;17;19;23;25;27;31;33;39;41;43;45;49;53;63;67;69
900024,5,0,0;4;58,9;13;17;19;23;25;27;31;33;39;41;43;45;49;51;53;67;69
900025,5,0,0;4;58,7;13;15;19;21;27;29;33;35;37;41;43;49;51;55;63;69;71
900026,5,0,0;4;58,7;13;15;19;21;27;29;33;35;37;41;43;49;51;53;55;69;71
900027,5,0,0;4;58,7;13;15;19;21;27;29;33;35;37;39;41;43;51;55;63;69;71
900028,5,0,0;4;58,7;13;15;19;21;27;29;33;35;37;39;41;43;51;53;55;69;71
900029,5,0,0;4;58,7;9;15;17;21;23;25;29;31;35;37;39;43;45;51;53;67;71
900030,5,0,0;4;58,7;9;13;17;19;23;25;27;31;33;39;41;45;49;53;55;63;69
900031,5,0,0;4;58,7;9;13;17;19;23;25;27;31;33;39;41;45;49;51;53;55;69
900032,5,0,0;4;58,7;9;13;15;19;21;27;29;33;35;37;41;43;49;51;55;63;69
900033,5,0,0;4;58,7;9;13;15;19;21;27;29;33;35;37;41;43;49;51;53;55;69
900034,6,0,0;14;28,5;9;19;23;25;31;33;39;41;45;47;49;53;55;59;63;67;69
900035,7,0,0;4;18,15;21;23;25;29;31;35;37;39;43;45;51;53;57;59;67;69;71
900036,7,0,0;4;18,9;15;23;25;29;31;33;35;37;39;43;45;51;53;57;59;67;71
900037,7,0,0;4;18,9;15;21;23;25;29;31;35;37;39;43;45;51;53;57;59;67;71
900038,7,0,0;4;18,9;13;23;25;27;31;33;39;41;45;47;49;53;55;59;63;67;69
900039,7,0,0;4;18,9;13;23;25;27;31;33;39;41;45;47;49;53;55;57;59;63;69
900040,8,0,0;4;26,9;17;19;23;31;33;35;39;41;45;47;49;53;55;59;63;67;69
900041,8,0,0;4;26,9;13;17;19;23;31;33;39;41;45;47;49;53;55;59;63;67;69
900042,8,0,0;4;26,9;13;17;19;23;31;33;39;41;45;47;49;51;53;55;59;67;69
900043,8,0,0;4;26,7;19;21;23;29;33;35;37;41;43;47;49;51;55;57;63;69;71
900044,8,0,0;4;26,7;19;21;23;29;31;35;37;39;43;45;51;53;57;59;67;69;71
900045,8,0,0;4;26,7;13;19;21;29;33;35;37;41;43;47;49;51;55;57;63;69;71
900046,8,0,0;4;26,7;9;19;23;29;31;33;35;37;39;43;45;51;53;57;59;67;71
900047,8,0,0;4;26,7;9;19;21;23;29;31;35;37;39;43;45;51;53;57;59;67;71
900048,8,0,0;4;26,7;9;17;21;23;29;31;35;37;39;43;45;51;53;57;59;67;71
900049,9,0,0;4;28,9;13;19;23;25;31;33;39;41;45;47;49;53;55;59;63;67;69
900050,9,0,0;4;28,7;9;15;21;23;25;31;35;37;39;43;45;51;53;57;59;67;71
900051,10,0,0;4;38,9;13;17;19;23;25;31;33;41;45;47;49;53;55;59;63;67;69
900052,10,0,0;4;38,7;15;19;21;23;25;29;31;35;43;45;51;53;57;59;67;69;71
900053,10,0,0;4;38,7;13;15;19;21;29;33;35;41;43;47;49;53;55;57;63;69;71
900054,10,0,0;4;38,7;13;15;19;21;29;33;35;41;43;47;49;51;55;57;63;69;71
900055,10,0,0;4;38,7;13;15;19;21;29;33;35;41;43;47;49;51;53;55;57;69;71
900056,10,0,0;4;38,7;13;15;19;21;29;31;33;35;43;47;49;51;53;55;57;69;71
900057,10,0,0;4;38,7;9;15;19;23;25;29;31;33;35;43;45;51;53;57;59;67;71
900058,10,0,0;4;38,7;9;15;19;21;23;25;29;31;35;43;45;51;53;57;59;67;71
900059,10,0,0;4;38,7;9;15;17;21;23;25;29;31;35;43;45;51;53;57;59;67;71
900060,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;45;47;53;55;59;67;69;71
900061,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;45;47;53;55;59;63;67;69
900062,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;45;47;53;55;57;59;67;69
900063,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;43;45;47;55;59;63;67;69
900064,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;43;45;47;53;57;59;67;69
900065,11,0,0;4;50,9;13;17;19;23;25;27;31;33;41;43;45;47;53;55;59;67;69
900066,11,0,0;4;50,9;13;17;19;23;25;27;31;33;37;41;45;47;53;55;59;67;69
900067,11,0,0;4;50,7;13;15;19;21;27;29;33;35;37;41;43;47;55;57;63;69;71
900068,11,0,0;4;50,7;13;15;19;21;27;29;33;35;37;41;43;47;53;55;57;69;71
900069,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;57;59;67;71
900070,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;57;59;67;69
900071,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;55;57;59;69
900072,11,0,0;4;50,7;9;13;17;19;23;25;27;31;33;41;45;47;53;55;59;67;69
900073,11,0,0;4;50,7;9;13;17;19;23;25;27;31;33;41;45;47;53;55;57;59;69
900074,12,0,0;4;68,9;15;17;19;23;25;29;31;33;35;37;39;43;45;51;53;59;71
900075,12,0,0;4;68,9;15;17;19;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900076,12,0,0;4;68,7;15;19;21;23;25;27;29;31;35;37;39;43;45;51;53;59;71
900077,12,0,0;4;68,7;15;17;19;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900078,12,0,0;4;68,7;13;15;19;21;27;29;33;35;37;41;43;47;49;51;55;63;71
900079,12,0,0;4;68,7;13;15;19;21;27;29;33;35;37;41;43;47;49;51;53;55;71
900080,12,0,0;4;68,7;9;15;17;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900081,13,0,0;16;44,9;13;19;23;25;27;31;39;41;47;49;53;55;59;63;65;67;69
900082,13,0,0;16;44,9;13;19;23;25;27;31;39;41;47;49;51;55;59;63;65;67;69
900083,13,0,0;16;44,3;9;19;23;25;29;31;35;37;39;51;53;57;59;65;67;69;71
900084,13,0,0;16;44,3;9;19;23;25;27;31;35;39;41;47;49;53;55;59;63;67;69
900085,13,0,0;16;44,3;9;13;19;23;25;27;31;39;41;47;49;53;55;59;63;67;69
900086,13,0,0;16;44,3;7;9;21;23;25;29;31;35;37;39;51;53;57;59;65;67;71
900087,13,0,0;16;44,3;7;9;19;23;25;29;31;35;37;39;51;53;57;59;65;67;71
